game_id	section_id	team_id	team_name	team_url	period_scores
951353	0	42	Aurora		[2, 3, 1, 3, 9]
951353	1	40	Augustana (IL)		[0, 1, 0, 1, 2]
1077931	0	633	Scranton		[1, 2, 1, 1, 5]
1077931	1	601	St. John Fisher		[2, 5, 5, 2, 14]
857030	0	1133	Husson		[0, 3, 1, 3, 7]
857030	1	26	Anna Maria		[1, 1, 1, 1, 4]
974753	0	461	Nazareth		[2, 0, 0, 3, 5]
974753	1	313	Ithaca		[2, 3, 4, 2, 11]
951771	0	258	Gettysburg		[0, 4, 3, 2, 9]
951771	1	783	Widener		[2, 0, 2, 2, 6]
925750	0	390	Mary Washington		[3, 1, 4, 6, 14]
925750	1	394	Marymount (VA)		[4, 4, 1, 2, 11]
1044171	0	182	Denison		[2, 2, 5, 1, 10]
1044171	1	374	Lynchburg		[1, 0, 2, 2, 5]
951850	0	1133	Husson		[4, 1, 2, 3, 10]
951850	1	379	Me.-Farmington		[0, 1, 0, 1, 2]
1010312	0	478	SUNY Maritime		[0, 0, 1, 0, 1]
1010312	1	770	Western Conn. St.		[1, 0, 3, 6, 10]
1000011	0	762	Wentworth		[0, 0, 0, 2, 2]
1000011	1	775	Western New Eng.		[3, 2, 6, 4, 15]
951870	0	30083	Cobleskill St.		[2, 4, 1, 1, 8]
951870	1	8398	Hilbert		[0, 6, 4, 0, 10]
974910	0	713	Trinity (CT)		[2, 1, 0, 4, 7]
974910	1	151	Colby		[3, 4, 1, 1, 9]
857690	0	685	Susquehanna		[5, 3, 6, 4, 18]
857690	1	2713	Oglethorpe		[0, 1, 2, 0, 3]
1077951	0	30067	Morrisville St.		[5, 3, 5, 3, 16]
1077951	1	9500	SUNY Poly		[0, 2, 2, 1, 5]
1077971	0	267	Hamilton		[1, 1, 3, 3, 8]
1077971	1	163	Connecticut Col.		[2, 4, 2, 1, 9]
1010313	0	50	Bates		[0, 3, 2, 0, 1, 6]
1010313	1	764	Wesleyan (CT)		[1, 1, 2, 1, 0, 5]
1044191	0	1467	Goucher		[0, 1, 1, 2, 4]
1044191	1	622	Salisbury		[3, 3, 2, 4, 12]
925770	0	451	Mt. St. Vincent		[0, 1, 0, 0, 1]
925770	1	16142	Misericordia		[4, 4, 4, 4, 16]
1000090	0	761	Wells		[3, 3, 1, 2, 9]
1000090	1	8398	Hilbert		[2, 3, 5, 3, 13]
1010831	0	18	Alfred		[2, 2, 3, 3, 10]
1010831	1	30067	Morrisville St.		[3, 5, 3, 5, 16]
858250	0	45	Babson		[5, 4, 2, 5, 16]
858250	1	273	Hartwick		[2, 4, 2, 3, 11]
1048012	0	27901	Mount Ida		[0, 0, 3, 2, 5]
