"opponent_name"	"total_time_elapsed"
"Maryland"	0.934
"Maryland"	2.050
"Maryland"	0.650
"Maryland"	0.883
"Maryland"	0.383
"Maryland"	1.134
"Maryland"	0.883
"Maryland"	0.633
"Maryland"	0.217
"Maryland"	0.250
"Brown"	0.083
"Brown"	0.683
"Brown"	0.017
"Brown"	0.500
"Brown"	1.516
"Brown"	0.000
"Brown"	0.400
"Brown"	0.700
"Brown"	1.017
"Brown"	0.950
"Brown"	1.967
"Brown"	0.550
"Brown"	0.800
"Brown"	0.100
"Brown"	0.550
"Maryland"	0.900
"Maryland"	1.317
"Maryland"	1.300
"Maryland"	0.517
"Maryland"	0.050
"Maryland"	1.200
"Maryland"	0.133
"Maryland"	0.467
"Maryland"	0.884
"Maryland"	1.367
"Maryland"	0.450
"Maryland"	1.500
"Maryland"	1.500
"Maryland"	0.667
"Maryland"	0.416
"Brown"	1.584
"Brown"	1.633
"Brown"	0.500
"Brown"	1.217
"Brown"	1.200
"Brown"	2.650
"Brown"	1.100
"Brown"	1.117
"Brown"	0.200
"Brown"	0.600
"Brown"	0.050
"Brown"	0.716
"Brown"	2.384
"Brown"	1.150
"Brown"	0.733
"Brown"	0.416
"Brown"	0.717
"Brown"	0.117
"Brown"	0.083
"Brown"	0.233
"Brown"	0.150
"Brown"	1.567
"Brown"	0.216
"Brown"	1.600
"Brown"	0.516
"Brown"	1.966
"Brown"	0.766
"Brown"	1.300
"Brown"	0.584
"Brown"	0.067
"Brown"	1.133
"Maryland"	0.250
"Maryland"	0.000
"Maryland"	0.533
"Maryland"	0.850
"Maryland"	0.684
"Maryland"	1.684
"Maryland"	1.033
"Maryland"	0.233
"Brown"	0.917
"Brown"	0.866
"Brown"	0.533
"Brown"	0.617
"Brown"	0.000
"Brown"	0.267
"Brown"	1.017
"Brown"	0.400
"Brown"	0.000
"Brown"	0.350
"Maryland"	0.533
"Maryland"	1.517
"Maryland"	0.917
"Maryland"	0.683
"Maryland"	1.850
"Maryland"	1.933
"Maryland"	1.400
"Maryland"	0.600
"Maryland"	1.284
"Maryland"	1.450
"Maryland"	1.034
"Maryland"	0.600
"Maryland"	0.884
"Brown"	1.017
"Brown"	0.166
"Brown"	0.667
"Maryland"	0.800
"Maryland"	0.717
"Maryland"	1.267
"Maryland"	0.950
"Maryland"	0.716
"Maryland"	0.800
"Maryland"	0.833
"Maryland"	0.650
"Maryland"	0.333
"Maryland"	0.434
"Maryland"	0.567
"Maryland"	0.117
"Maryland"	0.566
"Maryland"	0.033
"Maryland"	0.633
"Maryland"	1.000
"Maryland"	1.450
"Brown"	0.284
"Brown"	0.166
"Brown"	0.116
"Brown"	1.000
"Brown"	1.383
"Brown"	0.400
"Brown"	1.800
"Brown"	0.000
"Brown"	0.533
"Brown"	0.534
"Brown"	0.416
"Brown"	0.784
"Brown"	0.000
"Brown"	0.566
"Brown"	1.666
"Brown"	1.050
"Brown"	1.700
"Brown"	0.117
"Brown"	0.150
"Brown"	0.333
"Brown"	0.550
"Maryland"	0.900
"Maryland"	0.817
"Maryland"	1.250
"Maryland"	1.133
"Maryland"	1.450
"Maryland"	0.350
"Maryland"	0.783
"Maryland"	0.000
"Maryland"	1.283
"Maryland"	1.033
"Maryland"	1.200
"Maryland"	1.150
"Maryland"	0.617
"Brown"	1.183
"Brown"	0.650
"Brown"	0.900
"Brown"	1.166
"Brown"	0.434
"Brown"	0.550
"Brown"	0.233
"Brown"	2.517
"Brown"	1.300
"Brown"	0.384
"Brown"	1.683
"Brown"	0.000
"Brown"	1.150
"Brown"	1.417
"Brown"	0.250
"Brown"	0.267
"Brown"	0.833
"Maryland"	1.316
"Maryland"	0.533
"Maryland"	0.100
"Maryland"	1.267
"Maryland"	2.400
"Maryland"	0.117
"Maryland"	1.067
"Maryland"	0.217
"Brown"	0.767
"Brown"	0.417
"Brown"	1.134
"Brown"	0.933
"Brown"	0.950
"Brown"	0.983
"Brown"	0.167
"Brown"	1.033
"Brown"	1.267
"Brown"	0.700
"Brown"	0.917
"Brown"	1.550
"Brown"	0.550
"Brown"	1.616
"Maryland"	1.650
"Maryland"	0.766
"Maryland"	0.750
"Maryland"	0.000
"Maryland"	0.200
"Maryland"	0.000
"Maryland"	0.517
"Maryland"	0.000
"Maryland"	0.300
"Brown"	3.433
"Brown"	1.050
"Brown"	1.200
"Brown"	2.050
"Brown"	0.233
"Brown"	0.550
"Brown"	1.517
"Maryland"	1.133
"Maryland"	0.766
"Maryland"	0.167
"Maryland"	0.500
"Maryland"	1.200
"Maryland"	1.100
"Maryland"	0.400
"Maryland"	0.117
"Maryland"	2.083
"Maryland"	0.800
"Maryland"	0.517
"Maryland"	0.817
"Maryland"	1.500
"Brown"	0.850
"Brown"	0.767
"Brown"	1.667
"Brown"	0.483
"Brown"	0.367
"Brown"	0.183
"Brown"	0.217
"Brown"	0.267
"Maryland"	0.134
"Maryland"	0.166
"Maryland"	0.983
"Maryland"	1.384
"Maryland"	0.983
"Maryland"	1.050
"Maryland"	0.733
"Maryland"	0.700
"Brown"	1.533
"Brown"	0.800
"Brown"	0.183
"Brown"	0.500
"Brown"	0.684
"Brown"	1.116
"Brown"	0.533
"Brown"	0.267
"Maryland"	0.883
"Maryland"	0.650
"Maryland"	0.000
"Maryland"	1.067
"Maryland"	4.183
"Maryland"	0.366
"Maryland"	1.100
"Maryland"	1.583
"Maryland"	1.050
"Maryland"	0.550
"Maryland"	0.684
"Maryland"	2.983
"Maryland"	1.050
"Maryland"	1.033
"Maryland"	0.633
"Maryland"	1.783
"Maryland"	0.350
"Brown"	2.367
"Brown"	0.217
"Brown"	0.350
"Brown"	0.167
"Brown"	0.483
"Brown"	0.984
"Brown"	0.550
"Brown"	2.433
"Brown"	0.850
"Brown"	0.567
"Brown"	0.650
"Brown"	0.100
"Brown"	1.550
"Brown"	0.666
"Brown"	0.700
"Brown"	0.000
"Brown"	0.217
"Maryland"	1.683
"Maryland"	3.350
"Maryland"	1.434
"Maryland"	0.100
"Maryland"	0.867
"Maryland"	1.467
"Maryland"	0.950
"Maryland"	0.450
"Brown"	1.916
"Brown"	0.550
"Brown"	0.434
"Brown"	0.267
"Brown"	1.483
