year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	gp	gs	Goals	Assists	Points	Shots	Shot PCT	SOG	SOG PCT	GWG	EMO G	Man-Down G	GB	TO	CT	FOW	FOs Taken	FO%	Pen	Pen Time	GGP	GGS	G Min	Goals Allowed	GAA	Saves	Save Pct	RC	YC	Clears Suc	Clears Att	Clear Pct
2016	12380	721	Air Force	49	1765671	Wheeler, Roman	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765671	N/A	2	0	2	""	""	""	0	""	""	""	""	""	""	""	1	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	721	Air Force	45	1765670	Jones, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765670	N/A	2	2	2	2	""	""	0	1	""	1	1.000	""	""	""	2	""	4	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	721	Air Force	20	1428713	Warden, Alex	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1428713	Sr	2	2	2	2	""	""	0	""	""	""	""	""	""	""	4	2	3	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	721	Air Force	26	1428715	Allen, Christopher	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1428715	Sr	2	2	2	2	2	1	3	16	0.125	4	0.250	""	1	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	721	Air Force	23	1428724	Leathers, Luke	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1428724	Sr	2	0	2	""	""	""	0	""	""	""	""	""	""	""	1	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	721	Air Force	6	1428725	Gouchoe, Doug	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1428725	Sr	2	2	2	2	""	""	0	1	""	""	""	""	""	""	3	""	""	""	""	""	""	""	2	2	7,200	20	10.000	12	0.375	""	""	""	""	""
2016	12380	721	Air Force	50	1428728	Duenes, Matthew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1428728	Sr	2	0	2	""	""	""	0	2	""	2	1.000	""	""	""	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	721	Air Force	35	1765668	Carter, Cameron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765668	N/A	2	2	2	2	3	1	4	6	0.500	5	0.833	""	""	""	4	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	721	Air Force	33	1765667	Harper, Trent	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765667	N/A	2	0	2	""	""	""	0	""	""	""	""	""	""	""	3	""	""	12	33	0.364	1	30	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	721	Air Force	0	1765666	Hemme, Jeremiah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765666	N/A	2	0	2	""	""	""	0	""	""	""	""	""	""	""	5	1	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
