year	year_id	team_id	team_name	jersey_number	team/opp	player_name	player_url	class_year	gp	gs	Goals	Assists	Points	Shots	Shot PCT	SOG	SOG PCT	GWG	EMO G	Man-Down G	GB	TO	CT	FOW	FOs Taken	FO%	Pen	Pen Time	GGP	GGS	G Min	Goals Allowed	GAA	Saves	Save Pct	RC	YC	Clears Suc	Clears Att	Clear Pct
2016	12380	721	Air Force	-	TEAM	-	-	-	2	""	""	""	0	""	""	""	""	""	""	""	""	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	721	Air Force	-	Totals	-	-	-	2	""	15	7	22	58	0.259	31	0.534	""	2	""	49	26	16	14	43	0.326	4	120	""	""	7,200	20	10.000	12	0.375	""	""	28	33	0.848
2016	12380	721	Air Force	-	Opponent Totals	-	-	-	2	""	20	12	32	51	0.392	32	0.627	2	""	""	65	31	16	29	43	0.674	2	90	""	""	7,200	15	7.500	16	0.516	""	""	29	36	0.806
2016	12380	725	Army West Point	-	TEAM	-	-	-	1	""	""	""	0	""	""	""	""	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	-	Totals	-	-	-	1	""	9	3	12	42	0.214	21	0.500	1	1	""	39	11	9	13	18	0.722	1	60	""	""	3,600	5	5.000	4	0.444	""	""	11	14	0.786
2016	12380	725	Army West Point	-	Opponent Totals	-	-	-	1	""	5	3	8	17	0.294	9	0.529	""	1	""	25	12	7	5	18	0.278	7	300	""	""	3,600	9	9.000	12	0.571	""	""	13	15	0.867
2016	12380	52	Bellarmine	-	TEAM	-	-	-	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	52	Bellarmine	-	Totals	-	-	-	1	""	11	5	16	33	0.333	22	0.667	1	1	""	35	20	9	21	24	0.875	5	210	""	""	3,600	10	10.000	8	0.444	""	""	16	21	0.762
2016	12380	52	Bellarmine	-	Opponent Totals	-	-	-	1	""	10	4	14	38	0.263	18	0.474	""	2	""	16	11	10	3	24	0.125	2	120	""	""	3,600	11	11.000	11	0.500	""	""	20	24	0.833
2016	12380	68	Boston U.	-	TEAM	-	-	-	1	""	""	""	0	""	""	""	""	""	""	""	""	3	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	68	Boston U.	-	Totals	-	-	-	2	""	17	13	30	73	0.233	36	0.493	2	3	""	75	41	28	28	35	0.800	4	240	""	""	7,136	10	5.045	15	0.600	""	""	26	32	0.812
2016	12380	68	Boston U.	-	Opponent Totals	-	-	-	2	""	10	5	15	45	0.222	25	0.556	""	""	""	51	43	16	7	35	0.200	7	420	""	""	7,136	17	8.576	19	0.528	""	""	32	42	0.762
2016	12380	81	Bryant	-	TEAM	-	-	-	1	""	""	""	0	""	""	""	""	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	81	Bryant	-	Totals	-	-	-	2	""	26	16	42	87	0.299	53	0.609	1	3	""	75	34	11	31	47	0.660	3	180	""	""	7,200	14	7.000	18	0.562	""	""	33	36	0.917
2016	12380	81	Bryant	-	Opponent Totals	-	-	-	2	""	14	7	21	57	0.246	32	0.561	1	""	""	62	36	17	16	47	0.340	5	270	""	""	7,200	26	13.000	27	0.509	""	""	39	52	0.750
2016	12380	83	Bucknell	-	TEAM	-	-	-	2	""	""	""	0	""	""	""	""	""	""	""	""	4	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	83	Bucknell	-	Totals	-	-	-	2	""	24	12	36	70	0.343	43	0.614	2	2	""	58	33	12	28	46	0.609	3	150	""	""	7,200	15	7.500	20	0.571	""	""	35	45	0.778
2016	12380	83	Bucknell	-	Opponent Totals	-	-	-	2	""	15	9	24	62	0.242	35	0.565	""	1	""	60	28	16	18	46	0.391	5	300	""	""	7,200	24	12.000	19	0.442	""	""	28	32	0.875
2016	12380	153	Colgate	-	TEAM	-	-	-	1	""	""	""	0	""	""	""	""	""	""	""	""	3	5	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	153	Colgate	-	Totals	-	-	-	1	""	8	3	11	42	0.190	23	0.548	""	1	""	26	16	5	7	19	0.368	4	180	""	""	3,600	9	9.000	8	0.471	""	""	12	16	0.750
2016	12380	153	Colgate	-	Opponent Totals	-	-	-	1	""	9	3	12	28	0.321	17	0.607	1	2	""	29	13	13	12	19	0.632	4	180	""	""	3,600	8	8.000	15	0.652	""	""	15	21	0.714
2016	12380	180	Delaware	-	TEAM	-	-	-	2	""	""	""	0	""	""	""	""	""	""	""	1	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	180	Delaware	-	Totals	-	-	-	2	""	16	10	26	67	0.239	35	0.522	""	1	""	60	24	18	22	49	0.449	6	360	""	""	7,200	27	13.500	15	0.357	""	""	23	28	0.821
